table_name	grain	primary_key	required_for_promotion	description
source.tsv	One citeable or computational source object.	source_id	Required for every promoted source-result row.	Papers, registry records, corpora, databases, repositories, PDFs, reports, raw files, and derived source tables.
source_access.tsv	One route to the bytes for one source.	access_id	Required unless the source is intentionally bibliographic-only and not used for extraction.	Direct URL/API/local path/checksum/access status records.
source_access_attempt.tsv	One resolver/download/API attempt for one source.	attempt_id	Recommended for all newly resolved sources; required when a source required multiple routes, paywall/CAPTCHA handling, or OA/preprint discovery.	Append-only acquisition attempts for DOI landing pages, OpenAlex/Unpaywall/Semantic Scholar candidates, PubMed/PMC bridges, registry APIs, repository files, paywalls, abstracts, and failures.
source_file.tsv	One mirrored byte artifact or extracted file/member for one source.	source_file_id	Required when bytes are mirrored or used as source evidence.	Content-addressed inventory of PDFs, XML, HTML, registry JSON, supplements, datasets, code, screenshots, archive files, and extracted archive members.
source_version.tsv	One version assertion for one source.	source_version_id	Recommended whenever a source may have VOR, preprint, registry, repository, dataset, or code versions.	Version labels and relationships for VORs, accepted manuscripts, preprints, registry records, dataset/code versions, and updates.
source_access_right.tsv	One access-rights or mirroring decision for one source/file.	access_right_id	Required for mirrored source files and publisher/repository/manual access routes.	License, terms, TDM, robots, storage, text-extraction, redistribution, institutional-access, and review decisions.
source_identifier.tsv	One external identifier, resolver key, or stable URL for one source.	source_id + identifier_type + identifier_value	Recommended for every source with more than one identifier or URL; required when identifiers were resolved separately from source.tsv.	DOI, PMID, PMCID, NCT, AEA, EGAP, RIDIE, OSF, Dataverse, Zenodo, OpenAlex, Semantic Scholar, repository, and URL identifiers.
source_classification.tsv	One classification assertion for one source.	source_id + classification_source	Recommended for plot filtering, source-family displays, field counts, and paper/data-paper tables.	Field, subfield, source family, study design, publication type, and venue classification with provenance.
search_lead.tsv	One discovered lead under one search track or plot universe.	search_lead_id	Recommended before a new corpus, database, project, registry record, paper, or replication-paper lead is promoted to source/source_result rows.	Top-of-pipeline candidates found during universe search, including corpus/database leads and individual replication-paper leads.
source_result.tsv	One result asserted or exposed by one extraction source.	source_result_id	Required for every plotted or staged result.	The lowest-level evidence row: verbatim source text, parsed native values, standardized D/N, and transformation notes.
canonical_result.tsv	One deduplicated result selected or summarized from one or more source-result rows.	canonical_result_id	Required for plotting and paper-level summaries.	Preferred result rows and paper/project-level collapses such as median, min, and max.
canonical_result_membership.tsv	One source-result row's membership in one canonical plotted/staged result.	canonical_result_id + source_result_id	Required whenever canonical_result.source_result_count is greater than one; recommended for all canonical results.	Explicit child rows used in median/min/max/preferred-source collapse decisions.
source_result_support.tsv	One source/access object supporting one source-result field or decision.	source_result_id + source_id + access_id + support_role	Recommended for all rows; required when multiple objects support one result, such as paper plus supplement plus registry plus code output.	Links result rows to source objects for effect text, N text, selector text, conversion inputs, raw data, code, and recomputed outputs.
plot_universe.tsv	One reusable plot, panel, statistic set, diagnostic view, or future plot context.	plot_universe_id	Recommended when a plot build snapshots YAML-defined criteria into table artifacts.	Context definitions for Figure 1, Figure 2, Figure 3, diagnostics, sensitivity views, and future plots.
plot_criterion.tsv	One reusable inclusion, exclusion, or context criterion.	criterion_id	Recommended when a plot build snapshots YAML-defined criteria into table artifacts.	Reusable criteria such as ever-published, explicit original/replication pair, D/N availability, prereg selector, and non-retraction checks.
plot_membership.tsv	One canonical result's inclusion/exclusion status in one plot or statistic set.	plot_id + canonical_result_id	Required for public plots once a canonical result can appear in more than one plot, diagnostic view, or sensitivity view.	Plot inclusion, statistics inclusion, field/source-family display labels, render-order groups, and exclusion reasons.
source_source_mapping.tsv	One directed relationship between two sources.	mapping_id	Required whenever extraction source and represented source differ, or for corpus-parent mappings.	Relationships such as corpus contains paper, database reports paper result, registry preregisters study.
extraction_event.tsv	One action or failed action used to obtain, parse, or verify source bytes.	event_id	Required for new extraction work; pilot retrace rows may have partial historical events.	Downloads, user uploads, unzip steps, API calls, table extraction, code execution, manual PDF checks, blocked access.
extraction_problem.tsv	One quality or provenance problem for one source-result or source object.	problem_id	Required when any promotion gate is not met or requires manual follow-up.	Machine-actionable error and rework queue.
manual_acquisition_task.tsv	One human/manual acquisition or verification task.	manual_task_id	Required when automated acquisition fails or manual/library access is needed.	Prioritized human workflow for missing source objects, PDFs, supplements, prereg artifacts, result text, and license/access review.
