plot_name,display_label,inclusion_status,source_key,citation_gap_priority,citation_gap_reason
Plot 1,Clinical phase II to phase III pairs — Kerschbaumer 2020 rheumatology phase II/III,included,Kerschbaumer 2020 rheumatology phase II/III,high,no_citation_key_mapped
Plot 1,Kerschbaumer 2020 rheumatology phase II/III,not_included,Kerschbaumer 2020 rheumatology phase II/III,low,no_citation_key_mapped
Plot 1,Li 2024 PD-1/PD-L1 phase II/III oncology,not_included,Li 2024 PD-1/PD-L1 phase II/III oncology,low,no_citation_key_mapped
Plot 1,Marcus Four Lab Replication Hcmv7,not_included,lead::marcus_four_lab_replication_hcmv7,low,no_citation_key_mapped
Plot 1,Wils 2023 IBD phase II/III,not_included,Wils 2023 IBD phase II/III,low,no_citation_key_mapped
Plot 2,replication-pair original-side bridge,included,replication_pair_originals_bridge,low,no_citation_key_mapped
Plot 2,Aczel negative-claim t-test comparator,not_included,aczel_2018_negative_claim_ttests,low,no_citation_key_mapped
Plot 3,COMPare prespecified outcome audit,not_included,compare_prespecified_clinical_trial_outcome_audit,low,no_citation_key_mapped
Plot 3,FORRT FReD / Replication Database,not_included,forrt_fred_replication_database,low,no_citation_key_mapped
Plot 3,FReD archived workflow rescue queue,not_included,fred_archived_workflow_workbook_osf_registries_queue,low,no_citation_key_mapped
Plot 3,Many Labs 1-5 project-level replication rows,not_included,many_labs_1_5_project_level_replication_rows,low,no_citation_key_mapped
Plot 3,Nordic trial registration-publication linkage,not_included,nordic_trial_registration_publication_linkage_database,low,no_citation_key_mapped
Plot 3,PSA replication-pair rows,not_included,psychological_science_accelerator_replication_pair_rows,low,no_citation_key_mapped
Plot 3,Political-science rescue worklist,not_included,political_science_pap_dataverse_dime_score_rescue_worklist,low,no_citation_key_mapped
Plot 3,Registered Replication Reports Plot 1 pair rows,not_included,registered_replication_reports_plot_1_pair_rows,low,no_citation_key_mapped
Plot 3,Registered Replication Reports per-lab rows,not_included,registered_replication_reports_per_lab_rows,low,no_citation_key_mapped
Plot 3,Self-control fMRI preregistered materials,not_included,self_control_fmri_preregistered_replication_materials,low,no_citation_key_mapped
Plot 3,Twomey kinesiology article audit,not_included,twomey_et_al_2021_kinesiology_article_audit,low,no_citation_key_mapped
